ID,Frugivore_Species,Plant_Species,Type of Interaction,Plant_family,Plant_genus,Plant_specific.epiteth,Plant_distribution,Plant_origin,Plant_Form,fruit_diameter,fruit_length,seed_diameter,seed_length,Fruit_color,Lipid_Score,Plants_IUCN,Frug_Class,Frug_Order,Frug_Family,Frug_Genus,Frug_Epitetus,Frug_Group,Frug_Body_Mass,Frug_Mean_Gape_Size,Frugivory_score,Frug_Migration_status,Frug_IUCN,Frug_Population_Trend,Study_Location,Latitude,Longitude,Precision,Study reference,Doi/Link,Study_Method
7004,Elaenia flavogaster,Acacia auriculiformis,Mutualistic,Fabaceae,Acacia,auriculiformis,BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-MA|BR-MG|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RS|BR-SC|BR-SE|BR-SP,invasive,tree,15,65,2.5,4,black,2,NE,Aves,Passeriformes,Tyrannidae,Elaenia,flavogaster,Small birds,24.8,8.35,2,RES,LC,Stable,NA,-22.766667,-43.683333,preciso,Silva R 2007,http://www.bibliotecaflorestal.ufv.br/handle/123456789/8788,Network study
7005,Guira guira,Acacia auriculiformis,Mutualistic,Fabaceae,Acacia,auriculiformis,BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-MA|BR-MG|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RS|BR-SC|BR-SE|BR-SP,invasive,tree,15,65,2.5,4,black,2,NE,Aves,Cuculiformes,Cuculidae,Guira,guira,Small birds,141,NA,1,RES,LC,Increasing,NA,-22.766667,-43.683333,preciso,Silva R 2007,http://www.bibliotecaflorestal.ufv.br/handle/123456789/8788,Network study
7006,Myiodynastes maculatus,Acacia auriculiformis,Mutualistic,Fabaceae,Acacia,auriculiformis,BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-MA|BR-MG|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RS|BR-SC|BR-SE|BR-SP,invasive,tree,15,65,2.5,4,black,2,NE,Aves,Passeriformes,Tyrannidae,Myiodynastes,maculatus,Small birds,43.2,14.61483871,1,MIG,LC,Stable,NA,-22.766667,-43.683333,preciso,Silva R 2007,http://www.bibliotecaflorestal.ufv.br/handle/123456789/8788,Network study
7007,Tyrannus melancholicus,Acacia auriculiformis,Mutualistic,Fabaceae,Acacia,auriculiformis,BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-MA|BR-MG|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RS|BR-SC|BR-SE|BR-SP,invasive,tree,15,65,2.5,4,black,2,NE,Aves,Passeriformes,Tyrannidae,Tyrannus,melancholicus,Small birds,37.4,11.35833333,1,MIG,LC,Increasing,NA,-22.766667,-43.683333,preciso,Silva R 2007,http://www.bibliotecaflorestal.ufv.br/handle/123456789/8788,Network study
7008,Thraupis palmarum,Acacia auriculiformis,Mutualistic,Fabaceae,Acacia,auriculiformis,BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-MA|BR-MG|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RS|BR-SC|BR-SE|BR-SP,invasive,tree,15,65,2.5,4,black,2,NE,Aves,Passeriformes,Thraupidae,Thraupis,palmarum,Small birds,39,8.283986928,2,RES,LC,Stable,NA,-22.766667,-43.683333,preciso,Silva R 2007,http://www.bibliotecaflorestal.ufv.br/handle/123456789/8788,Network study
7009,Patagioenas picazuro,Acacia auriculiformis,Mutualistic,Fabaceae,Acacia,auriculiformis,BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-MA|BR-MG|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RS|BR-SC|BR-SE|BR-SP,invasive,tree,15,65,2.5,4,black,2,NE,Aves,Columbiformes,Columbidae,Patagioenas,picazuro,Large birds,279,11.502,1,RES,LC,Increasing,NA,-22.766667,-43.683333,preciso,Silva R 2007,http://www.bibliotecaflorestal.ufv.br/handle/123456789/8788,Network study
7010,Chrysomus ruficapillus,Acacia auriculiformis,Mutualistic,Fabaceae,Acacia,auriculiformis,BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-MA|BR-MG|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RS|BR-SC|BR-SE|BR-SP,invasive,tree,15,65,2.5,4,black,2,NE,Aves,Passeriformes,Icteridae,Chrysomus,ruficapillus,Small birds,32,NA,1,RES,LC,Stable,NA,-22.766667,-43.683333,preciso,Silva R 2007,http://www.bibliotecaflorestal.ufv.br/handle/123456789/8788,Network study
7011,Thraupis episcopus,Acacia auriculiformis,Mutualistic,Fabaceae,Acacia,auriculiformis,BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-MA|BR-MG|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RS|BR-SC|BR-SE|BR-SP,invasive,tree,15,65,2.5,4,black,2,NE,Aves,Passeriformes,Thraupidae,Thraupis,episcopus,Small birds,35,10.1,2,NA,LC,Stable,NA,-22.766667,-43.683333,preciso,Silva R 2007,http://www.bibliotecaflorestal.ufv.br/handle/123456789/8788,Network study
7012,Pitangus sulphuratus,Acacia auriculiformis,Mutualistic,Fabaceae,Acacia,auriculiformis,BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-MA|BR-MG|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RS|BR-SC|BR-SE|BR-SP,invasive,tree,15,65,2.5,4,black,2,NE,Aves,Passeriformes,Tyrannidae,Pitangus,sulphuratus,Small birds,63.33333333,13.892,2,RES,LC,Increasing,NA,-22.766667,-43.683333,preciso,Silva R 2007,http://www.bibliotecaflorestal.ufv.br/handle/123456789/8788,Network study
1196,Chiroxiphia caudata,Acnistus arborescens,Mutualistic,Solanaceae,Acnistus,arborescens,BR-AL|BR-BA|BR-CE|BR-ES|BR-MG|BR-PB|BR-PE|BR-PR|BR-RJ|BR-RN|BR-RS|BR-SC|BR-SE|BR-SP,native,scrub,7,7.2,NA,NA,yellow,1,NE,Aves,Passeriformes,Pipridae,Chiroxiphia,caudata,Small birds,25.6,9.496153846,3,RES,LC,Stable,NA,NA,NA,NA,Verçoza etal 2012,NA,Animal-oriented
