Reference_number,Reference,Publication_year,Type of publication
62,Silva CR (2001) Riqueza e diversidade de mamíferos não-voadores em um mosaico formado por plantios de Eucalyptus saligna e remanescentes de floresta atlântica no município de Pilar do Sul SP. Master Escola Superior de Agricultura Luiz de Queiroz Universidade de São Paulo.,2001,Thesis
63,Vieira MV Grelle CE Gentile R (2004) Differential trappability of small mammals in three habitats of Southeastern Brazil. Braz J Biol 64: 895-900.,2004,Article
64,Modesto TC Pessôa FS Enrici MC Attias N Jordão-Nogueira T Costa LdM Albuquerque HG Bergallo HdG (2008) Mamíferos do Parque Estadual do Desengano Rio de Janeiro Brasil. Biota Neotrop. 8: 153-159.,2008,Article
65,Peters FB Roth PRdO Machado LF Coelho EDL Jung DMH Christoff AU (2010) Assembléia de mamíferos dos agroecossistemas constituintes da bacia hidrográfica do rio da Várzea Rio Grande do Sul. Biotemas: 91-107.,2010,Article
66,Ferracioli P (2013) Interação entre uma comunidade de pequenos mamíferos e a espécie Araucaria angustifolia em uma floresta ombrófila mista do Sul do Brasil. . Universidade Federal de Lavras. Lavras MG.,2013,Thesis
67,Pereira LG Geise L (2009) Non-flying mammals of Chapada Diamantina (Bahia Brazil). Biota Neotrop. 9: 185-196.,2009,Article
68,Lessa G Gonçalves PR Júnior MMM Costa FM Pereira RF Paglia AP (1999) Caracterização e monitoramento da fauna de pequenos mamíferos terrestres de um fragmento de mata secundaria em Viçosa Minas Gerais. Cadernos do Departamento de Ciências Biológicas da PUC Minas 7: 41-49.,1999,Article
69,Rocha MF Passamani M Louzada J (2011) A small mammal community in a forest fragment vegetation corridor and coffee matrix system in the Brazilian Atlantic forest. PLoS One 6: e23312.,2011,Article
70,Abreu M Wieliczko A Mesquita A Vieira E (2010) Consumo de pequenos mamíferos por canídeos simpátricos do sul do Brasil: sobreposição de nichos e seleção de presas. Neotropical Biology and Conservation 5: 16-23.,2010,Article
71,Mesquita AO Passamani M (2012) Composition and abundance of small mammal communities in forest fragments and vegetation corridors in Southern Minas Gerais Brazil. Rev Biol Trop 60: 1335-1343.,2012,Article
72,Briani DC Santori RT Vieira MV Gobbi N (2001) Mamíferos não-voadores de um fragmento de mata mesófila semidecídua do interior do Estado de São Paulo Brasil. HOLOS Environment 1: 141-149.,2001,Article
73,Martin PS Gheler-Costa C Lopes PC Rosalino LM Verdade LM (2012) Terrestrial non-volant small mammals in agro-silvicultural landscapes of Southeastern Brazil. Forest Ecology and Management 282: 185-195.,2012,Article
74,D'Andrea PS Gentile R Maroja LS Fernandes FA Coura R Cerqueira R (2007) Small mammal populations of an agroecosystem in the Atlantic Forest domain southeastern Brazil. Braz J Biol 67: 179-186.,1999,Article
75,Cerboncini RAS Rubio MBG Bernardi IP Braga TV Roper JJ Passos FC (2014) Small mammal community structure and vertical space use preferences in nonfragmented Atlantic Forest. Mammalia 0: 1-8.,2014,Article
76,Machado FS Gregorin R Mouallem PSB (2013) Small mammals in high altitude phytophysiognomies in southeastern Brazil: are heterogeneous habitats more diverse? Biodivers Conserv 22: 1769-1782.,2013,Article
77,Galiano D (2010) Dinâmica populacional e efeitos de variáveis ambientais sobre a fauna de pequenos mamíferos em um fragmento de Floresta com araucária no Sul do Brasil. . Master Universidade Federal do Rio Grande do Sul Porto Alegre.,2010,Thesis
78,D'Andrea RS Gentile R Cerqueira R Grelle CEV Horta C Rey L (1999) Ecology of small mammals in a Brazilian rural area. Revista Brasileira de Zoologia 16: 611-620.,2007,Article
79,Gheler-Costa C Sabino-Santos G Amorim LS Rosalino LM Figueiredo LTM Verdade LM (2013) The effect of pre-harvest fire on the small mammal assemblage in sugarcane fields. Agriculture Ecosystems & Environment 171: 85-89.,2013,Article
80,Rosa CA (2012) Efeito de borda de rodovias em pequenos mamíferos de fragmentos florestais tropicais  Universidade Federal de Lavras.,2012,Thesis
81,Umetsu F Pardini R (2007) Small mammals in a mosaic of forest remnants and anthropogenic habitats-evaluating matrix quality in an Atlantic forest landscape. Landscape Ecology 22: 517-530.,2006,Article
82,Luza AL Zanella N Christoff AU Barreto-Lima AF Grando JV (2013) Relação entre fatores exógenos e a abundância de roedores em remanescente de Floresta Ombróila Mista Rio Grande do Sul. Revista Brasileira de Biociências 11: 263-268.,2013,Article
83,Stevens SM Husband TP (1998) The influence of edge on small mammals: evidence from Brazilian Atlantic forest fragments. Biological Conservation 85: 1-8.,1998,Article
84,Prevedello JA (2013) A importância dos recursos alimentares para populações e comunidades animais: uma meta-análise global e um estudo experimental na Mata Atlântica. . Universidade Federal do Rio de Janeiro Rio de Janeiro RJ.,2013,Thesis
85,Martins TK (2011) Determinantes ecológicos do risco de extinção: abundância local amplitude de nicho capacidade de dispersão e a resposta das espécies de pequenos mamíferos à fragmentação florestal no Planalto Atlântico Paulista. Master University of São Paulo São Paulo.,2011,Thesis
86,Atique MS (2006) Estudo de uma comunidade de pequenos mamíferos em uma área de Floresta Atlântica. Universidade Regional de Blumenau.,2006,Thesis
87,Rosalino LM Martin PS Gheler-Costa C Lopes PC Verdade LM (2014) Neotropical small mammals’ diversity in the early cycle of commercial Eucalyptus plantations. Agroforest Syst 88: 427-436.,2014,Article
88,Herrmann G (1991) Estrutura da comunidade de pequenos mamíferos em áreas secundárias de Mata Atlântica. Universidade Federal de Mina Gerais.,1991,Thesis
89,Bergallo HG ( 1991) Dinâmica Populacional área de vida parasitismo e mutualismo de pequenos mamíferos da estação ecologica da Juréia SP Master Universidade Estadual de Campinas Campinas.,1991,Book
90,Gheler-Costa C Verdade LM de Almeida AlF (2002) Mamíferos não-voadores do campus Luiz de Queiroz  Universidade de São Paulo Piracicaba Brasil. Zoologia (Curitiba Impr.) 19: 203-214.,2002,Article
91,Lima BS Dantas-Torres F de Carvalho MR Marinho-Junior JF de Almeida EL Brito MEF Gomes F Brandao-Filho SP (2013) Small mammals as hosts of Leishmania spp. in a highly endemic area for zoonotic leishmaniasis in north-eastern Brazil. Transactions of the Royal Society of Tropical Medicine and Hygiene 107: 592-597.,2013,Article
92,Amaral HHDOM (2008) Ecologia de Phthiraptera Siphonaptera e Acari (ixodidae) de pequenos roedores e marsupiais do Parque Estadual Da Pedra Branca Rio De Janeiro Brasil. Universidade Federal Rural do Rio de Janeiro.,2008,Thesis
93,Horn GB (2005) A assembléia de pequenos mamíferos da floresta paludosa do Faxinal Torres-RS: sua relação com a borda e o roedor Akodon montensis (Rodentia Muridae) como potencial dispersos de sementes endozoocóricas. Universidade Federal do Rio Grande do Sul.,2005,Thesis
94,Davis DE (1945) The Annual Cycle of Plants Mosquitoes Birds and Mammals in Two Brazilian Forests. Ecological Society of America 15: 243-295.,1945,Article
95,Pacheco M Kajin M Gentile R Zangrandi PL Vieira MV Cerqueira R (2013) A comparison of abundance estimators for small mammal populations. Zoologia (Curitiba Impresso) 30: 182-190.,2013,Article
96,Nieri-Bastos FA Barros-Battesti DM Linardi PM Amaku M Marcili A Favorito AE Pinto-Da-Rocha R (2004) Ectoparasites of Wild Rodents From Parque Estadual da Cantareira (Pedra Grande Nuclei) São Paulo Brazil. Rev. Bras. Parasitol. Vet 13: 29-35.,2004,Article
97,Pedó E (2005) Assembléia de pequenos mamíferos não-voadores em áreas de ecótono campo-floresta com araucária na região dos campos de cima da serra Rio Grande do Sul. Universidade Federal do Rio Grande do Sul.,2005,Thesis
98,Prevedello JA Ferreira P Papi BS Loretto D Vieira MV (2008) Uso do espaço vertical por pequenos mamíferos no Parque Nacional Serra dos Órgãos RJ: um estudo de 10 anos utilizando três métodos de amostragem. Espaço & Geografia 11: 35-58.,2008,Article
99,Passamani M Fernandez FAS (2011) Abundance and richness of small mammals in fragmented Atlantic Forest of southeastern Brazil. Studies on Neotropical Fauna and Environment 45: 553-565.,2011,Article
100,Finokiet M (2007) Efeito de borda sobre uma assembléia de pequenos mamíferos em um fragmento de floresta estacional decidual de Santa Maria RS sul do Brasil  Universidade Federal De Santa Maria.,2007,Thesis
101,Oliveira FF Ferrari SF Silva SDB (2005) Mamíferos não-voadores. In: CMd Carvalho JC Vilar (eds) Parque Nacional Serra de Itabaiana Levantamento da Biota 131. .,2005,Book
102,Pena DCH (2007) Epidemiologia das riquetsioses em área de foco silencioso para febre maculosa brasileira município de Santa Cruz do Escalvado Minas Gerais. Master Universidade Federal de Ouro Preto Ouro Preto.,2007,Thesis
103,Passamani M (2000) Análise da comunidade de marsupiais em Mata Atlantica de Santa Teresa Espirito Santo. Bol. Mus. Biol. Mello Leitão 11: 215-228.,2000,Article
104,Iob G (2007) Influência de frutos e sementes na abundância de pequenos mamíferos e a relação com a predação e dispersão de sementes da araucária (Araucaria angustifolia). Universidade Federal do Rio Grande do Sul.,2007,Thesis
105,Loretto D (2012) Ecologia de pequenos mamíferos arborícolas: estado do conhecimento métodos de amostragem e estudo populacional com ênfase no bioma da Mata Atlântica. Universidade Federal do Rio de Janeiro.,2012,Thesis
106,Oli?ers N (2002) Fragmentação Habitat e as Comunidades de Pequenos Mamiferos da Bacia do Rio Macacu RJ. Master Universidade Federal de Minas Gerais Belo Horizonte.,2002,Thesis
107,Langone PQ (2007) Importância da matriz e das características do hábitat sobre a assembléia de pequenos mamíferos em fragmento de mata de restinga no Sul do Brasil. Universidade Federal do Rio Grande Do Sul.,2007,Thesis
108,Uchôa T (2006) Comunidades dos pequenos mamíferos em dois estágios sucessionais de floresta atlantica e suas implicações à ecologia e conservação. Universidade Federal do Paraná.,2006,Thesis
