ID ,Reference_number,Country,State,Municipality,Study_location,Latitude,Longitude,Precision,Size,Altitude,Annual_rainfall,Vegetation type,Protect_area,Matrix
sm59,27,Brazil,RJ, Guapimirim,Bacia Hidrográfica do Rio Macacu Guapimirim Cachoeiras de Macacu e Itaboraí,-22.33333333,-42.98333333,Precise,100,250,NA,Ombrophilous forest,No,Agriculture mixed agriculture-cattle
sm60,28,Brazil,SP,Itapevi,Município de Itapevi,-23.569825,-46.93985833,Precise,124.58,900,1400,Ombrophilous forest,No,Plantations fields and built up areas
sm61,30,Brazil,PE,Recife,ESEC Caetés PEDI PEC São José CIMNC Aldeia e ESEC Tapacurá; Recife,-7.919904,-35.025836,Precise,8404,NA,NA,Ombrophilous forest,Yes,Pastures and agriculture
sm62,31,Brazil,MG,Vicosa,Centro de Estudos de Florestas Naturais (Mata do Paraíso) (campo antrópico) Viçosa,-20.438248,-42.489135,Precise,194,870,1750,Semideciduous forest,No,Pastures
sm63,31,Brazil,MG,Vicosa,Centro de Estudos de Florestas Naturais (Mata do Paraíso) (capoeira) Viçosa,-20.433982,-42.501028,Precise,194,870,1750,Semideciduous forest,No,Pastures and Eucaliptus
sm63,68,Brazil,MG,Vicosa,Centro de Estudos de Florestas Naturais (Mata do Paraíso) (capoeira) Viçosa,-20.433982,-42.501028,Precise,194,670,1750,Semideciduous forest,No,Pastures and Eucaliptus
sm64,68,Brazil,MG,Vicosa,Centro de Estudos de Florestas Naturais (Mata do Paraíso) (floresta nativa) Viçosa,-20.433152,-42.492407,Precise,194,670,1750,Semideciduous forest,No,Pastures Caffe and Eucaliptus
sm65,68,Brazil,MG,Vicosa,Centro de Estudos de Florestas Naturais (Mata do Paraíso) (mata secundária) Viçosa,-20.43915,-42.493506,Precise,194,870,1750,Semideciduous forest,No,Pastures Caffe and Eucaliptus
sm66,32,Brazil,MG,Rio Casca,Fazenda Esmeralda (floresta primária) Rio Casca,-20.06473333,-42.76111667,Precise,80,NA,NA,Ombrophilous forest,No,Pastures and agriculture
sm67,32,Brazil,MG,Rio Casca,Fazenda Esmeralda (floresta secundária) Rio Casca,-20.06843056,-42.73844167,Precise,60,NA,NA,Ombrophilous forest,No,Pastures and agriculture
sm68,32,Brazil,MG,Ipanema/Caratinga,Fazenda Montes Claros (floresta primária) Ipanema/Caratinga,-19.72722222,-41.82138889,Precise,860,NA,NA,Semideciduous forest,No,Pastures and Eucaliptus
sm69,32,Brazil,MG,Ipanema/Caratinga,Fazenda Montes Claros (floresta secundária) Ipanema/Caratinga,-19.713994,-41.822298,Precise,860,NA,NA,Semideciduous forest,No,Pastures and Eucaliptus
sm70,32,Brazil,MG,Timóteo,Parque Estadual do Rio Doce (Campolina - floresta primária),-19.69761667,-42.55199722,Precise,36000,515,1480,Semideciduous forest,Yes,Forest
sm71,32,Brazil,MG,Timóteo,Parque Estadual do Rio Doce (floresta secundária),-19.589594,-42.564326,Precise,36000,515,1480,Semideciduous forest,Yes,herbaceous plants bamboos and graminoids 
sm72,33,Brazil,RJ, Ilha Grande,Vila Dois Rios (área em regeneração há 25 anos) Ilha Grande,-23.186676,-44.204333,Precise,19000,NA,2500,Ombrophilous forest,No,Small agricultures Banana vegetables
sm73,33,Brazil,RJ, Ilha Grande,Vila Dois Rios (área em regeneração há 50 anos) Ilha Grande,-23.18335,-44.20002778,Precise,19000,NA,2500,Ombrophilous forest,No,Small agricultures Banana vegetables
sm74,33,Brazil,RJ, Ilha Grande,Vila Dois Rios (área preservada) Ilha Grande,-23.172,-44.209745,Not-Precise,19000,NA,2500,Ombrophilous forest,No,Small agricultures Banana vegetables
sm75,34,Brazil,RS,Sao Francisco de Paula,Centro de Pesquisas e Conservação da Natureza Pró Mata São Francisco de Paula,-29.47773333,-50.215825,Precise,2500,900,2252,Araucaria forest (Mixed ombrophilous),Yes,Open field
sm76,34,Brazil,RS,Sao Francisco de Paula,Fazenda Três Estrelas São Francisco de Paula,-29.484395,-50.225973,Precise,500,624,2253,Semideciduous forest,No,Open field
sm77,35,Brazil,PE,Ibateguara,Floresta Coimbra Centro de Endemismo Pernambuco,-9,-35.87,Not-Precise,3400,NA,1850,Ombrophilous forest,No,Pastures
sm78,35,Brazil,PE,Ibateguara,Floresta Aquidabã Centro de Endemismo Pernambuco,-8.991496,-35.838573,Precise,50,NA,1850,Ombrophilous forest,No,Pastures
sm79,35,Brazil,PE,Ibateguara,Floresta Espelho Centro de Endemismo Pernambuco,-8.762645,-35.914168,Precise,50,NA,1850,Ombrophilous forest,No,Pastures and agriculture
sm80,35,Brazil,PE,Ibateguara,Floresta Ageró Centro de Endemismo Pernambuco,-8.676571,-35.827059,Precise,50,NA,1850,Ombrophilous forest,No,Pastures and agriculture
sm81,35,Brazil,PE,Ibateguara,Floresta Fervedouro Centro de Endemismo Pernambuco,-8.748206,-35.900165,Precise,300,NA,1850,Ombrophilous forest,No,Pastures and agriculture
sm82,35,Brazil,PE,Ibateguara,Floresta Serra do Quengo Centro de Endemismo Pernambuco,-8.714868,-35.842889,Precise,500,NA,1850,Ombrophilous forest,No,Pastures and agriculture
sm83,35,Brazil,PE,Ibateguara,Floresta Xangô Centro de Endemismo Pernambuco,-8.190461,-35.078906,Precise,6,NA,1850,Ombrophilous forest,No,Pastures and agriculture
sm84,35,Brazil,PE,Ibateguara,Floresta Cuxiu Centro de Endemismo Pernambuco,-8.201313,-35.072244,Precise,38,NA,1850,Ombrophilous forest,No,Pastures and agriculture
sm85,35,Brazil,PE,Ibateguara,Floresta Café Centro de Endemismo Pernambuco,-8.230258,-35.058674,Precise,118,NA,1850,Ombrophilous forest,No,Pastures and agriculture
sm86,35,Brazil,PE,Ibateguara,Floresta São Brás Centro de Endemismo Pernambuco,-8.22305,-35.05638,Precise,50,NA,1850,Ombrophilous forest,No,Pastures and agriculture
sm87,36,Brazil,SP, Picinguaba,Sede Parque Estadual Serra do Mar Picinguaba Ubatuba,-23.36335556,-44.83625833,Precise,47500,NA,2750,Ombrophilous forest,Yes,Forest
sm88,36,Brazil,SP, Picinguaba,Casa da Farinha Parque Estadual Serra do Mar Picinguaba Ubatuba,-23.33283611,-44.8332,Precise,47500,NA,2750,Ombrophilous forest,Yes,Forest
sm89,37,Brazil,SP,Vale do Paraiba,São Luiz do Paraitinga (Fragmento sem rio) Vale do Paraíba,-23.17711111,-45.37916389,Precise,140,1080,1277,Ombrophilous forest,No,Pastures
sm90,37,Brazil,SP,Vale do Paraiba,São Luiz do Paraitinga (Fragmento com rio) Vale do Paraíba,-23.21176944,-45.27347778,Precise,180,1080,1277,Ombrophilous forest,No,Pastures
sm91,37,Brazil,SP,Vale do Paraiba,São Luiz do Paraitinga (Borda do fragmento) Vale do Paraíba,-23.179152,-45.377639,Precise,140,1080,1277,Ombrophilous forest,No,Pastures
sm92,37,Brazil,SP,Vale do Paraiba,São Luiz do Paraitinga (Matriz sem rio) Vale do Paraíba,-23.179634,-45.380366,Precise,140,1080,1277,Ombrophilous forest,No,Pastures
sm93,37,Brazil,SP,Vale do Paraiba,São Luiz do Paraitinga (Matriz com rio) Vale do Paraíba,-23.216409,-45.275524,Precise,180,1080,1277,Ombrophilous forest,No,Pastures
sm94,39,Brazil,SP,Ribeirao Grande,Mina Limeira (Site 1) Ribeirão Grande,-24.17272778,-48.33373056,Precise,2500,NA,1700,Ombrophilous forest,No,industry
sm95,39,Brazil,SP,Ribeirao Grande,Mina Limeira (Site 2) Ribeirão Grande,-24.17475556,-48.33198056,Precise,2500,NA,1700,Ombrophilous forest,No,Forest
sm96,39,Brazil,SP,Ribeirao Grande,Mina Limeira (Site 3) Ribeirão Grande,-24.17816944,-48.3285,Precise,2500,NA,1700,Ombrophilous forest,No,Forest
sm97,39,Brazil,SP,Ribeirao Grande,Mina Limeira (Site 4) Ribeirão Grande,-24.18096111,-48.32448889,Precise,2500,NA,1700,Ombrophilous forest,No,Forest
sm98,40,Brazil,RS,Rio Grande,Praia do Cassino (dunas) Rio Grande,-32.28747222,-52.26651667,Precise,42,NA,1162,Semideciduous forest,No,Open field
sm99,40,Brazil,RS,Rio Grande,Praia do Cassino (restinga) Rio Grande,-32.28618333,-52.27679722,Precise,42,NA,1162,Semideciduous forest,No,Open field
sm100,42,Brazil,PR,Pirai do Sul,UC Floresta Nacional de Piraí do Sul (Floresta de Pinus) Piraí do Sul,-24.587255,-49.923943,Precise,153,1248,1480,Ombrophilous forest,Yes,Extensive agriculture pastures and Pinus plantation
sm101,42,Brazil,PR,Pirai do Sul,UC Floresta Nacional de Piraí do Sul (Mata Ciliar) Piraí do Sul,-24.575878,-49.912402,Precise,153,1248,1480,Ombrophilous forest,Yes,Extensive agriculture pastures and Pinus plantation
sm102,42,Brazil,PR,Pirai do Sul,UC Floresta Nacional de Piraí do Sul (Reflorestamento de Araucárias) Piraí do Sul,-24.575738,-49.912997,Precise,153,1248,1480,Ombrophilous forest,Yes,Extensive agriculture pastures and Pinus plantation
sm103,42,Brazil,PR,Pirai do Sul,UC Floresta Nacional de Piraí do Sul (Regenaração Natural) Piraí do Sul,-24.582999,-49.909341,Precise,153,1248,1480,Ombrophilous forest,Yes,Extensive agriculture pastures and Pinus plantation
sm104,42,Brazil,PR,Pirai do Sul,UC Floresta Nacional de Piraí do Sul (Capoeirinha de Altitude) Piraí do Sul,-24.584243,-49.89896,Precise,153,1248,1480,Ombrophilous forest,Yes,Extensive agriculture pastures and Pinus plantation
sm105,42,Brazil,PR,Pirai do Sul,UC Floresta Nacional de Piraí do Sul (Banhado) Piraí do Sul,-24.587095,-49.904808,Precise,153,1248,1480,Ombrophilous forest,Yes,Extensive agriculture pastures and Pinus plantation
sm106,42,Brazil,PR,Pirai do Sul,UC Floresta Nacional de Piraí do Sul (Taquaral) Piraí do Sul,-24.58694,-49.907174,Precise,153,1248,1480,Ombrophilous forest,Yes,Extensive agriculture pastures and Pinus plantation
sm107,42,Brazil,PR,Pirai do Sul,UC Floresta Nacional de Piraí do Sul (Área Antropizada) Piraí do Sul,-24.591573,-49.899269,Precise,153,1248,1480,Ombrophilous forest,Yes,Extensive agriculture pastures and Pinus plantation
sm108,43,Brazil,RJ,Volta Redonda,Parque do Ingá Volta Redonda,-22.44508333,-44.07841667,Precise,211,434,1300,Semideciduous forest,No,Eucalipto plantations and pastures
sm109,44,Brazil,MG,Conceicao das Alagoas,Unidade Volta Grande Conceição das Alagoas,-20.022822,-48.235677,Precise,391,NA,1550,Semideciduous forest,No,River and Agroculture
sm110,44,Brazil,SP,Miguelopoles,Unidade Volta Grande Miguelópoles,-20.0323,-48.23325,Precise,391,NA,1550,Semideciduous forest,No,River and Agroculture
sm111,45,Brazil,SC,Florianópolis,Parque Municipal da Lagoa do Peri Ilha Santa Catarina,-27.72243333,-48.52846667,Precise,1500,60,1384,Ombrophilous forest,No,Urban and small agriculture
sm112,78,Brazil,RJ,Sumidouri,Vale do Pamparrão Porteira Verde Bela Joana  Sumidouro,-22.01691389,-42.65711389,Precise,676,355,NA,Ombrophilous forest,No,Small rural properties with plantations and pastures
sm113,47,Brazil,RJ,Sumidouro,Vale do Pamparrão Sumidouro,-22.04611111,-42.68916667,Precise,676,355,NA,Ombrophilous forest,No,Diverse plantations and pasturelands
sm114,49,Brazil,SP,Itatiaia,Parque Nacional do Itatiaia RJ - Parque Nacional da Serra da Bocaina SP - Serra da Fartura SP,-22.48527778,-44.75861111,Precise,8000,1500,NA,Ombrophilous forest,Yes,Forest
sm115,50,Brazil,SC,Chapeco,Fragmento localizada a oeste de Santa Catarina,-27.14038056,-52.71718333,Precise,400,600,1800,Ombrophilous forest,No,Eucalyptus monocultures forestry and housing
sm116,51,Brazil,PR,Antonina,Reserva Natural Rio Cachoeira (capoeira) Antonina,-25.244277,-48.693453,Precise,10009.36,NA,2730,Ombrophilous forest,Yes,Pastures and agriculture
sm117,51,Brazil,PR,Antonina,Reserva Natural Rio Cachoeira (floresta secundária) Antonina,-25.261011,-48.680328,Precise,10009.36,NA,2730,Ombrophilous forest,Yes,Pastures and agriculture
sm118,51,Brazil,PR,Antonina,Reserva Natural Rio Cachoeira (floresta primária) Antonina,-25.24959167,-48.68356111,Precise,10009.36,NA,2730,Ombrophilous forest,Yes,Pastures and agriculture
sm119,92,Brazil,RJ,Jacarepagua,Parque Estadual da Pedra Branca (cota 150 m) Jacarepaguá,-22.93195,-43.444924,Precise,12500,150,NA,Ombrophilous forest,Yes,Sugarcane corn banana caffe and caqui
sm120,92,Brazil,RJ,Jacarepagua,Parque Estadual da Pedra Branca (cota 200 m) Jacarepaguá,-22.924341,-43.438242,Precise,12500,200,NA,Ombrophilous forest,Yes,Sugarcane corn banana caffe and caqui
sm121,92,Brazil,RJ,Jacarepagua,Parque Estadual da Pedra Branca (cota 300 m) Jacarepaguá,-22.927992,-43.448981,Precise,12500,300,NA,Ombrophilous forest,Yes,Sugarcane corn banana caffe and caqui
sm122,92,Brazil,RJ,Jacarepagua,Parque Estadual da Pedra Branca (cota 400 m) Jacarepaguá,-22.934491,-43.458576,Precise,12500,400,NA,Ombrophilous forest,Yes,Sugarcane corn banana caffe and caqui
sm123,92,Brazil,RJ,Jacarepagua,Parque Estadual da Pedra Branca (cota 500 m) Jacarepaguá,-22.943564,-43.456198,Precise,12500,500,NA,Ombrophilous forest,Yes,Sugarcane corn banana caffe and caqui
sm124,92,Brazil,RJ,Jacarepagua,Parque Estadual da Pedra Branca (cota 600 m) Jacarepaguá,-22.943546,-43.462111,Precise,12500,600,NA,Ombrophilous forest,Yes,Sugarcane corn banana caffe and caqui
sm125,52,Brazil,RJ,Jacarepagua,Parque Estadual da Pedra Branca Jacarepaguá,-22.947188,-43.452989,Precise,12500,600,NA,Ombrophilous forest,Yes,Sugarcane corn banana caffe and caqui
sm126,53,Brazil,PR,Matinhos,Rio do Tigre Matinhos Parque Nacional Saint-Hilaire/Lange,-25.74138889,-48.59888889,Precise,25118,90,2435,Ombrophilous forest,Yes,Forest
sm127,53,Brazil,PR,Paranagua,Fazenda Niterói Paranaguá Parque Nacional Saint-Hilaire/Lange,-25.65805556,-48.5975,Precise,25118,88,2435,Ombrophilous forest,Yes,Pastures and Banana cultive
sm128,53,Brazil,PR,Paranagua,Rio Miranda Paranaguá Parque Nacional Saint-Hilaire/Lange,-25.61444444,-48.63944444,Precise,25118,159,2435,Ombrophilous forest,Yes,Forest
sm129,54,Brazil,RS,Terra de Areia,Reserva Biológica Estadual Mata Paludosa Terra de Areia,-29.50652778,-50.10702778,Precise,113,30,NA,Ombrophilous forest,Yes,Banana farming
sm130,54,Brazil,RS,Tres Forquilhas,Floresta Ombrófila Densa Vale do Rio Três Forquilhas Rota do Sol,-29.37511111,-50.18863889,Precise,40,350,NA,Ombrophilous forest,No,Pastures and agriculture
