,ID_codref,Bib_Ref,Country,State,Municipality,Site,Latitude_y,Longitude_x,Category_coord,Year_start,Year_finish,Habitat,Method,Number_nets,Net_size,RN_total_effort,Number_point_counts,Point_count_temporal_replicates,PE_total_effort,Olsoneconame,OlsonG200r,Ribeirovegtype,BSRs,Altitude,Annual_rainfall,Annual_temperature
2956,354,NA,Brazil,ES,SANTA TERESA,Escola TecnoagrÌcola S„o Jo„o do PetrÛpolis ,-19.816666,-40.666666,MOS,1995,1996,Not informed,INV,,NA,NA,NA,NA,NA,Bahia coastal forests,Atlantic Forests,Floresta Ombrofila Densa,Bahia,284,170,26.4
2957,355,NA,Brazil,ES,SAO ROQUE DO CANAA,Santa J˙lia Abaixo,-19.65,-40.683333,PTCENTRAL,1995,1996,Not informed,INV,,NA,NA,NA,NA,NA,Bahia interior forests,Atlantic Forests,Floresta Estacional Semidecidual,Florestas de Interior,262,175,26.6
2958,356,NA,Brazil,ES,ITAGUACU,Queiradeus Abaixo,-19.616666,-40.816666,MOS,1995,1996,Not informed,INV,,NA,NA,NA,NA,NA,Bahia coastal forests,Atlantic Forests,Floresta Ombrofila Densa,Bahia,296,179,27.2
2959,368,NA,Brazil,SP,RIO CLARO,Fazenda S„o JosÈ ,-22.35,-47.483333,PTCENTRAL,1982,1986,Not informed,INV,,NA,NA,NA,NA,NA,Alto Parana Atlantic forests,Atlantic Forests,Floresta Estacional Semidecidual,Florestas de Interior,612,251,22.6
2960,369,NA,Brazil,SP,ARARAS,Fazenda S„o JosÈ ,-22.366666,-47.466666,MOS,1982,1986,Not informed,INV,,NA,NA,NA,NA,NA,Alto Parana Atlantic forests,Atlantic Forests,Floresta Estacional Semidecidual,Florestas de Interior,615,252,22.5
2961,959,NA,Brazil,SP,RIO CLARO,Horto Florestal,-22.416666,-47.516666,PTCENTRAL,1982,1982,Not informed,OO,,NA,NA,NA,NA,NA,Alto Parana Atlantic forests,Atlantic Forests,Floresta Estacional Semidecidual,Florestas de Interior,612,245,22.7
2962,960,NA,Brazil,SP,ITIRAPINA,Cerrado de Itirapina,-22.25,-47.866666,PTCENTRAL,1982,1982,Not informed,OO,,NA,NA,NA,NA,NA,Cerrado,Cerrado Woodlands and Savannas,Savana,Florestas de Interior,920,257,22.6
2963,961,NA,Brazil,SP,SAO MIGUEL ARCANJO,Parque Estadual Carlos Botelho,-24.066666,-47.966666,PTCENTRAL,1979,1979,Not informed,OO,,NA,NA,NA,NA,NA,Alto Parana Atlantic forests,Atlantic Forests,Areas de Tensao Ecologica,Florestas de Interior,784,202,20.9
2964,962,NA,Brazil,SP,OUROESTE,Fazenda Limoeira,-19.8,-50.45,MOS,1996,1996,Not informed,OO,,NA,NA,NA,NA,NA,Alto Parana Atlantic forests,Atlantic Forests,Floresta Estacional Semidecidual,Florestas de Interior,368,235,25.4
2965,963,NA,Brazil,SP,VALENTIM GENTIL,Rio S„o JosÈ dos Dourados,-20.483333,-50.183333,PTCENTRAL,1996,1996,Not informed,OO,,NA,NA,NA,NA,NA,Cerrado,Cerrado Woodlands and Savannas,Areas de Tensao Ecologica,Florestas de Interior,411,221,24.9
