"ID","Country","State","Municipality","Study_location","Latitude","Longitude","Precision","Reserve_Area","Altitude","Altitude1km","Annual_mean_temperature","Annual_rainfall","Olsong200r","Olsoneconame","ribeirovegtype","BSRs","uc","protectedtype"
"bat1076","Brazil","PARANA","CIANORTE","Cinturao Verde de Cianorte","-23.65981591000","-52.62091046000","Not-Precise",25,"522",522,"20.5",1399,"Atlantic Forests","Alto Parana Atlantic forests","Semideciduous Forest","Interior Forests","Y",NA
"bat1077","Brazil","SAO PAULO","RIBEIRAO GRANDE","Parque Estadual de Intervales","-24.27000000000","-48.40000000000","Not-Precise",41704,"905",875,"17.5",1399,"Atlantic Forests","Alto Parana Atlantic forests",NA,"Interior Forests","Y",NA
"bat1078","Brazil","MINAS GERAIS","ARAGUARI","Uberlandia","-18.71641828000","-48.25423544000","Not-Precise",NA,"656",656,"22.8",1409,"Atlantic Forests","Alto Parana Atlantic forests","Semideciduous Forest","Interior Forests",NA,NA
"bat1079","Brazil","SAO PAULO","GALIA","Caetetus","-22.41766687000","-49.69083655000","Not-Precise",20,"565",534,"20.8",1278,"Atlantic Forests","Alto Parana Atlantic forests","Semideciduous Forest","Interior Forests","Y","Ecological Station"
"bat1080","Brazil","SAO PAULO","JAU","Fazenda Santo Antonio dos Ipes Pomar Silo Curral and Trails","-22.30557100000","-48.52573500000","Not-Precise",142.88,NA,536,"20.8",1281,"Atlantic Forests","Alto Parana Atlantic forests","Semideciduous Forest","Interior Forests","Y",NA
"bat1081","Brazil","ESPIRITO SANTO","LINHARES","Linhares Reserva Natural Vale","-19.15373831000","-40.05418785000","Not-Precise",22,"65",65,"24",1209,"Atlantic Forests","Bahia coastal forests","Dense Ombrophilous Forest","Bahia","Y","Private Reserve"
"bat1082","Brazil","SANTA CATARINA","CAMPO BELO DO SUL","Campo Belo do Sul AD2","-27.88195243000","-50.75206644000","Not-Precise",1,"924",985,"15.9",1640,"Atlantic Forests","Araucaria moist forests","Stepe","Florestas de Araucaria",NA,NA
"bat1083","Brazil","ALAGOAS","IBATEGUARA","Usina Serra Grande","-9.00000000000","-35.86700000000","Not-Precise",44,"427",459,"21.9",1757,"Atlantic Forests","Pernambuco coastal forests","Open Ombrophilous Forest","Pernambuco",NA,NA
"bat1084","Brazil","PARANA","ANTONINA","Morro da Mina","-25.38300000000","-48.80800000000","Not-Precise",28,"38",31,"21.4",2003,"Atlantic Forests","Serra do Mar coastal forests","Dense Ombrophilous Forest","Serra do Mar",NA,NA
"bat1085","Brazil","PARANA","FOZ DO IGUACU","Parque do Iguacu","-25.61059100000","-54.47612500000","Not-Precise",17,"234",229,"21",1734,"Atlantic Forests","Alto Parana Atlantic forests","Semideciduous Forest","Interior Forests","Y","World Heritage Site"
"bat1086","Brazil","SAO PAULO","MOGI GUACU","Reserve Parque Sao Marcelo","-22.36707326000","-46.97967251000","Not-Precise",45,"596",618,"20.3",1341,"Cerrado Woodlands and Savannas","Cerrado",NA,"Interior Forests","Y","Park"
"bat1087","Brazil","SANTA CATARINA","ITAPOA","Volta Velha","-26.08014768000","-48.64523742000","Not-Precise",6,"18",18,"21.2",1876,"Atlantic Forests","Serra do Mar coastal forests","Dense Ombrophilous Forest","Serra do Mar","Y","Indigenous land"
